#tail	head	edge_weight
0	1	1
0	2	1
0	4	1
0	5	1
0	8	1
0	21	1
0	22	1
0	23	1
1	0	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	7	1
1	8	1
1	9	1
1	20	1
1	21	1
1	22	1
1	23	1
1	25	1
1	28	1
2	0	1
2	1	1
2	4	1
2	5	1
2	7	1
2	8	1
2	9	1
2	18	1
2	20	1
2	22	1
2	23	1
2	24	1
2	25	1
2	28	1
3	1	1
3	2	1
3	4	1
3	5	1
3	6	1
3	8	1
3	9	1
3	18	1
3	20	1
3	22	1
3	23	1
3	25	1
3	28	1
4	0	1
4	1	1
4	2	1
4	3	1
4	5	1
4	8	1
4	9	1
4	20	1
4	21	1
4	22	1
4	26	1
4	28	1
5	0	1
5	1	1
5	2	1
5	3	1
5	4	1
5	7	1
5	8	1
5	9	1
5	10	1
5	11	1
5	12	1
5	13	1
5	15	1
5	18	1
5	19	1
5	23	1
5	24	1
5	26	1
5	28	1
5	29	1
6	1	1
6	3	1
6	5	1
6	10	1
6	11	1
7	0	1
7	2	1
7	5	1
7	8	1
7	9	1
7	21	1
7	22	1
7	28	1
8	0	1
8	1	1
8	2	1
8	3	1
8	4	1
8	5	1
8	7	1
8	9	1
8	20	1
8	21	1
8	22	1
8	23	1
8	24	1
8	25	1
8	28	1
8	29	1
9	2	1
9	4	1
9	5	1
9	7	1
9	8	1
9	10	1
9	11	1
9	16	1
9	18	1
9	20	1
9	21	1
9	24	1
9	25	1
9	27	1
9	28	1
10	5	1
10	9	1
10	13	1
10	14	1
10	15	1
10	20	1
10	28	1
10	29	1
11	5	1
11	10	1
11	13	1
11	15	1
11	20	1
11	28	1
11	29	1
12	5	1
12	11	1
12	14	1
12	15	1
13	5	1
13	11	1
13	14	1
13	15	1
14	11	1
14	13	1
14	27	1
14	28	1
14	29	1
15	5	1
15	11	1
15	13	1
15	18	1
15	19	1
16	9	1
16	12	1
16	13	1
16	17	1
16	18	1
16	19	1
16	20	1
16	21	1
16	27	1
16	28	1
16	29	1
17	14	1
17	16	1
17	18	1
17	19	1
17	27	1
17	29	1
18	2	1
18	3	1
18	5	1
18	9	1
18	11	1
18	13	1
18	14	1
18	15	1
18	16	1
18	17	1
18	20	1
18	27	1
18	29	1
19	5	1
19	11	1
19	12	1
19	13	1
19	14	1
19	15	1
19	16	1
19	17	1
19	27	1
19	29	1
20	1	1
20	2	1
20	3	1
20	4	1
20	7	1
20	8	1
20	9	1
20	10	1
20	11	1
20	16	1
20	22	1
20	24	1
20	25	1
20	26	1
20	27	1
20	28	1
21	1	1
21	4	1
21	8	1
21	9	1
21	16	1
21	22	1
21	25	1
21	28	1
22	0	1
22	8	1
22	20	1
22	21	1
22	24	1
22	25	1
22	26	1
22	27	1
22	28	1
23	0	1
23	2	1
23	3	1
23	5	1
23	8	1
23	22	1
23	26	1
23	27	1
24	2	1
24	3	1
24	4	1
24	5	1
24	8	1
24	9	1
24	11	1
24	18	1
24	20	1
24	21	1
24	22	1
24	25	1
24	26	1
24	27	1
24	28	1
24	29	1
25	2	1
25	8	1
25	9	1
25	20	1
25	21	1
25	22	1
25	24	1
25	27	1
25	28	1
26	4	1
26	5	1
26	9	1
26	20	1
26	21	1
26	22	1
26	23	1
26	24	1
26	27	1
26	29	1
27	14	1
27	16	1
27	17	1
27	18	1
27	19	1
27	20	1
27	21	1
27	22	1
27	24	1
27	26	1
27	28	1
27	29	1
28	8	1
28	9	1
28	12	1
28	13	1
28	14	1
28	16	1
28	20	1
28	21	1
28	22	1
28	24	1
28	25	1
28	26	1
28	27	1
28	29	1
29	12	1
29	13	1
29	14	1
29	16	1
29	17	1
29	18	1
29	19	1
29	26	1
29	27	1
29	28	1
