#tail	head	edge_weight
0	1	1
0	2	1
0	4	1
0	5	1
0	7	1
0	8	1
0	22	1
0	23	1
1	0	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	8	1
1	9	1
1	10	1
2	0	1
2	1	1
2	3	1
2	4	1
2	5	1
2	7	1
2	8	1
2	9	1
2	11	1
2	20	1
2	23	1
2	24	1
2	25	1
3	1	1
3	4	1
3	5	1
3	6	1
3	8	1
3	9	1
3	20	1
3	23	1
3	24	1
4	0	1
4	1	1
4	2	1
4	3	1
4	5	1
4	8	1
4	9	1
4	10	1
4	11	1
4	24	1
4	26	1
5	0	1
5	1	1
5	2	1
5	3	1
5	4	1
5	6	1
5	7	1
5	8	1
5	11	1
5	12	1
5	13	1
5	14	1
5	15	1
5	17	1
5	20	1
5	21	1
5	23	1
5	24	1
5	26	1
6	1	1
6	3	1
7	1	1
7	2	1
7	5	1
7	8	1
7	9	1
7	11	1
8	0	1
8	1	1
8	2	1
8	3	1
8	4	1
8	5	1
8	7	1
8	9	1
8	10	1
8	11	1
8	22	1
8	23	1
8	24	1
8	25	1
8	28	1
9	1	1
9	2	1
9	3	1
9	4	1
9	8	1
9	11	1
9	18	1
9	20	1
9	22	1
9	24	1
9	25	1
9	26	1
9	27	1
9	28	1
10	1	1
10	4	1
10	7	1
10	8	1
10	11	1
10	18	1
10	22	1
10	24	1
10	25	1
10	26	1
10	28	1
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	7	1
11	8	1
11	9	1
11	10	1
11	18	1
11	20	1
11	24	1
11	25	1
11	26	1
11	28	1
12	5	1
12	6	1
12	9	1
12	11	1
13	5	1
13	6	1
13	9	1
13	11	1
13	14	1
13	15	1
13	16	1
13	17	1
13	20	1
13	21	1
13	24	1
14	5	1
14	18	1
14	21	1
14	28	1
14	29	1
15	5	1
15	12	1
15	13	1
15	16	1
15	17	1
15	18	1
15	20	1
15	21	1
15	28	1
15	29	1
16	12	1
16	14	1
16	15	1
16	19	1
16	20	1
16	21	1
16	27	1
16	28	1
16	29	1
16	30	1
16	31	1
16	42	1
16	51	1
16	55	1
16	56	1
16	57	1
17	5	1
17	12	1
17	13	1
17	14	1
17	15	1
17	20	1
17	21	1
17	30	1
17	31	1
17	42	1
17	51	1
17	55	1
17	56	1
17	57	1
18	9	1
18	10	1
18	11	1
18	19	1
18	20	1
18	21	1
18	27	1
18	28	1
18	29	1
18	39	1
18	47	1
18	60	1
18	68	1
18	69	1
18	70	1
19	18	1
19	20	1
19	21	1
19	27	1
19	29	1
19	30	1
19	31	1
19	47	1
19	53	1
19	60	1
19	66	1
19	67	1
19	68	1
19	69	1
19	70	1
20	2	1
20	3	1
20	5	1
20	11	1
20	17	1
20	18	1
20	19	1
20	24	1
20	27	1
20	29	1
20	30	1
20	31	1
20	36	1
20	39	1
20	47	1
20	48	1
20	57	1
20	67	1
20	68	1
20	69	1
21	5	1
21	17	1
21	18	1
21	19	1
21	27	1
21	29	1
21	30	1
21	31	1
21	39	1
21	47	1
21	48	1
21	57	1
21	67	1
21	68	1
21	69	1
22	0	1
22	1	1
22	2	1
22	3	1
22	4	1
22	7	1
22	9	1
22	10	1
22	23	1
22	24	1
22	25	1
22	26	1
22	27	1
22	28	1
23	0	1
23	1	1
23	2	1
23	3	1
23	5	1
23	8	1
23	26	1
24	2	1
24	5	1
24	8	1
24	9	1
24	11	1
24	22	1
24	25	1
24	26	1
24	27	1
24	28	1
24	29	1
24	36	1
24	38	1
24	39	1
24	44	1
24	45	1
24	47	1
24	48	1
24	53	1
24	54	1
24	57	1
25	1	1
25	2	1
25	3	1
25	8	1
25	9	1
25	10	1
25	11	1
25	22	1
25	24	1
25	28	1
26	4	1
26	5	1
26	9	1
26	22	1
26	23	1
26	24	1
26	27	1
26	28	1
26	29	1
27	9	1
27	11	1
27	16	1
27	18	1
27	19	1
27	20	1
27	21	1
27	22	1
27	23	1
27	24	1
27	25	1
27	26	1
27	28	1
27	29	1
27	30	1
27	39	1
27	45	1
27	47	1
27	48	1
27	49	1
27	53	1
27	54	1
28	8	1
28	9	1
28	10	1
28	11	1
28	12	1
28	13	1
28	14	1
28	15	1
28	16	1
28	18	1
28	24	1
28	25	1
28	27	1
28	29	1
28	39	1
28	44	1
28	48	1
28	60	1
28	69	1
28	70	1
29	5	1
29	8	1
29	12	1
29	13	1
29	14	1
29	15	1
29	16	1
29	18	1
29	19	1
29	20	1
29	21	1
29	24	1
29	26	1
29	27	1
29	28	1
29	30	1
29	31	1
29	39	1
29	44	1
29	45	1
29	47	1
29	48	1
29	49	1
29	53	1
29	55	1
29	68	1
29	69	1
30	16	1
30	17	1
30	20	1
30	21	1
30	27	1
30	29	1
30	31	1
30	39	1
30	41	1
30	57	1
30	66	1
30	67	1
31	5	1
31	12	1
31	13	1
31	16	1
31	17	1
31	19	1
31	20	1
31	21	1
31	29	1
31	30	1
31	39	1
31	42	1
31	47	1
31	48	1
31	49	1
31	51	1
31	55	1
31	57	1
31	58	1
31	66	1
31	67	1
31	68	1
32	34	1
32	35	1
33	34	1
33	35	1
33	38	1
34	32	1
34	33	1
34	35	1
34	36	1
34	38	1
34	39	1
35	32	1
35	33	1
35	34	1
35	36	1
35	38	1
35	39	1
35	43	1
35	45	1
36	24	1
36	34	1
36	35	1
36	37	1
36	38	1
36	39	1
36	43	1
36	44	1
36	45	1
36	46	1
36	60	1
36	69	1
36	70	1
37	36	1
37	38	1
37	39	1
37	40	1
37	70	1
38	24	1
38	33	1
38	34	1
38	35	1
38	36	1
38	37	1
38	39	1
38	40	1
38	41	1
38	43	1
38	44	1
38	46	1
38	58	1
38	70	1
39	18	1
39	19	1
39	20	1
39	21	1
39	24	1
39	26	1
39	27	1
39	28	1
39	29	1
39	30	1
39	31	1
39	34	1
39	35	1
39	36	1
39	37	1
39	38	1
39	40	1
39	42	1
39	43	1
39	44	1
39	46	1
39	47	1
39	48	1
39	49	1
39	54	1
39	55	1
39	56	1
39	70	1
40	37	1
40	38	1
40	39	1
40	41	1
40	70	1
41	30	1
41	38	1
41	40	1
41	42	1
41	70	1
42	14	1
42	15	1
42	16	1
42	17	1
42	30	1
42	31	1
42	39	1
42	41	1
42	48	1
42	57	1
42	58	1
42	66	1
42	67	1
42	68	1
43	35	1
43	36	1
43	38	1
43	39	1
43	44	1
44	24	1
44	28	1
44	29	1
44	36	1
44	38	1
44	39	1
44	43	1
44	46	1
44	48	1
44	53	1
44	54	1
44	55	1
44	58	1
44	70	1
45	24	1
45	27	1
45	29	1
45	35	1
45	36	1
45	43	1
45	44	1
46	36	1
46	38	1
46	39	1
46	44	1
46	60	1
46	69	1
46	70	1
47	24	1
47	26	1
47	27	1
47	29	1
47	39	1
47	48	1
47	49	1
47	50	1
47	60	1
47	69	1
47	70	1
48	24	1
48	29	1
48	39	1
48	47	1
48	49	1
48	50	1
48	70	1
49	20	1
49	21	1
49	27	1
49	29	1
49	47	1
49	48	1
49	50	1
49	68	1
49	69	1
50	48	1
50	49	1
50	66	1
50	67	1
51	30	1
51	48	1
51	50	1
51	66	1
51	67	1
52	50	1
53	24	1
53	27	1
53	29	1
53	49	1
53	50	1
53	55	1
53	57	1
53	68	1
53	69	1
54	24	1
54	27	1
54	39	1
55	29	1
55	39	1
55	48	1
55	49	1
55	57	1
55	66	1
55	67	1
56	16	1
56	17	1
56	39	1
56	47	1
57	24	1
57	30	1
57	31	1
57	55	1
57	66	1
57	67	1
58	38	1
58	44	1
59	62	1
59	63	1
59	68	1
59	69	1
60	18	1
60	19	1
60	28	1
60	30	1
60	36	1
60	46	1
60	47	1
60	48	1
60	62	1
60	63	1
60	64	1
60	65	1
60	69	1
60	70	1
61	62	1
61	65	1
61	70	1
62	59	1
62	60	1
62	61	1
62	64	1
63	59	1
63	60	1
63	64	1
63	66	1
63	67	1
63	69	1
64	60	1
64	62	1
64	63	1
64	65	1
64	69	1
64	70	1
65	60	1
65	61	1
65	64	1
65	70	1
66	19	1
66	20	1
66	21	1
66	30	1
66	31	1
66	42	1
66	50	1
66	51	1
66	55	1
66	57	1
66	63	1
66	67	1
66	68	1
66	69	1
66	70	1
67	19	1
67	20	1
67	21	1
67	30	1
67	31	1
67	42	1
67	50	1
67	51	1
67	55	1
67	57	1
67	63	1
67	66	1
67	68	1
67	70	1
68	18	1
68	19	1
68	20	1
68	21	1
68	29	1
68	30	1
68	49	1
68	53	1
68	59	1
68	66	1
68	67	1
68	70	1
69	18	1
69	19	1
69	20	1
69	21	1
69	28	1
69	29	1
69	30	1
69	36	1
69	46	1
69	47	1
69	48	1
69	49	1
69	53	1
69	59	1
69	60	1
69	63	1
69	64	1
69	66	1
69	70	1
70	18	1
70	19	1
70	28	1
70	30	1
70	36	1
70	37	1
70	38	1
70	39	1
70	44	1
70	46	1
70	47	1
70	48	1
70	60	1
70	61	1
70	64	1
70	65	1
70	66	1
70	67	1
70	68	1
70	69	1
