#tail	head	edge_weight
0	1	3
0	2	3
0	3	1
0	4	3
0	5	2
0	7	2
0	9	2
0	10	2
0	11	3
1	0	3
1	2	3
1	3	1
1	4	3
1	5	3
1	6	1
1	7	1
1	9	2
1	10	2
1	11	2
1	13	1
1	36	1
2	0	3
2	1	3
2	3	2
2	4	3
2	5	2
2	6	1
2	7	2
2	8	2
2	9	3
2	10	1
2	11	3
2	12	1
2	13	2
2	21	1
2	31	1
2	34	1
2	35	1
2	36	2
3	0	1
3	1	2
3	2	1
3	4	1
3	5	1
3	6	2
3	7	1
3	8	3
3	11	2
3	13	1
3	14	3
3	15	3
3	21	1
3	31	1
3	32	1
3	36	1
3	41	1
3	42	1
3	43	2
3	47	1
4	0	3
4	1	2
4	2	3
4	3	2
4	5	2
4	7	3
4	9	1
4	10	1
4	11	3
4	14	1
4	31	1
4	36	2
4	42	1
4	43	1
4	47	1
5	0	3
5	1	3
5	2	2
5	4	3
5	6	1
5	9	2
5	12	1
5	13	2
5	14	1
5	29	1
5	30	1
5	32	1
5	33	1
5	34	2
5	35	1
5	36	2
5	37	1
5	44	1
5	45	1
6	2	1
6	3	2
6	5	1
6	7	1
6	8	2
6	13	1
6	14	2
6	21	1
6	32	1
6	36	2
6	41	1
6	43	2
6	45	1
7	1	1
7	2	1
7	4	3
7	8	2
7	11	2
7	14	1
7	21	1
8	3	3
8	7	2
8	10	1
8	14	2
8	21	2
8	42	2
8	43	2
9	0	3
9	1	3
9	2	3
9	3	1
9	4	1
9	5	2
9	10	2
9	11	2
9	13	2
9	21	1
9	34	1
9	36	2
9	45	1
9	47	2
9	48	1
10	0	2
10	1	2
10	2	1
10	4	1
10	7	1
10	8	1
10	9	2
10	11	2
10	13	2
10	21	1
10	34	1
10	36	2
10	47	2
10	48	1
11	0	3
11	1	2
11	2	3
11	3	1
11	4	3
11	7	2
11	9	2
11	10	2
11	12	3
11	13	2
11	21	2
11	32	1
11	34	1
11	41	1
11	42	1
11	43	1
11	45	1
11	46	2
11	47	2
11	48	1
12	2	1
12	5	1
12	11	3
12	13	2
12	14	1
12	15	2
12	21	2
12	32	1
12	34	1
12	41	1
12	42	1
12	43	1
12	44	1
12	45	2
12	46	2
12	47	2
12	48	1
13	1	1
13	2	2
13	3	1
13	9	2
13	10	1
13	11	1
13	21	2
13	29	1
13	31	2
13	32	3
13	33	1
13	34	2
13	35	2
13	36	3
13	37	2
13	38	2
13	41	1
13	42	1
13	43	1
13	44	1
13	45	3
13	46	2
13	47	1
14	3	3
14	4	1
14	5	1
14	6	2
14	8	2
14	9	1
14	11	2
14	12	2
14	15	2
14	21	1
14	23	1
14	24	1
14	28	2
14	29	2
14	30	1
14	31	2
14	32	2
14	33	2
14	34	2
14	35	2
14	37	1
14	38	2
14	41	2
14	42	1
14	43	2
14	45	1
14	47	1
14	48	1
15	2	1
15	3	3
15	4	1
15	5	1
15	9	1
15	10	1
15	11	2
15	12	2
15	13	1
15	14	2
15	41	1
15	43	2
15	44	1
15	45	1
15	47	1
15	48	2
16	17	2
16	18	3
16	19	2
16	20	2
16	21	1
16	22	1
16	40	1
16	47	1
17	14	1
17	16	3
17	18	2
17	19	2
17	21	2
17	22	1
17	41	1
17	42	2
17	43	2
17	47	2
17	48	1
18	14	1
18	16	3
18	17	2
18	19	2
18	20	1
18	21	1
18	48	2
19	11	1
19	12	1
19	16	3
19	17	3
19	18	1
19	20	2
19	21	2
19	22	1
19	45	2
19	46	2
19	47	2
20	16	2
20	17	2
20	18	1
20	19	2
20	21	2
20	22	2
20	45	1
20	48	1
21	9	1
21	10	1
21	11	2
21	12	2
21	13	1
21	14	1
21	15	2
21	16	1
21	17	1
21	19	2
21	20	2
21	32	2
21	40	1
21	41	1
21	42	2
21	43	2
21	44	1
21	45	2
21	47	2
21	48	1
22	17	2
22	21	2
22	40	1
22	41	1
22	42	2
22	43	2
22	47	1
22	48	3
23	14	1
23	24	3
23	25	3
23	26	3
23	27	3
23	29	3
23	30	2
23	31	2
23	33	3
23	34	3
23	37	2
23	38	1
24	14	1
24	23	3
24	25	3
24	26	3
24	27	3
24	29	2
24	30	2
24	31	2
24	33	2
24	34	3
24	35	1
24	36	1
24	37	1
24	38	1
25	23	3
25	24	3
25	26	3
25	27	3
25	29	2
25	30	1
25	31	2
25	32	1
25	33	3
25	34	1
25	35	2
25	37	2
25	38	1
26	23	3
26	24	3
26	25	3
26	27	3
26	29	2
26	30	1
26	31	2
26	32	1
26	33	2
26	34	2
26	36	2
26	37	1
26	38	2
26	42	1
26	43	1
27	14	2
27	23	3
27	24	3
27	25	3
27	26	3
27	28	1
27	29	3
27	30	3
27	31	2
27	32	1
27	33	2
27	34	1
27	35	2
27	37	3
27	42	1
27	43	1
27	47	1
27	48	1
28	14	2
28	24	1
28	29	1
28	30	1
28	31	2
28	32	2
28	33	2
28	34	2
28	35	2
28	37	2
28	38	1
28	41	1
28	42	2
28	43	2
28	44	1
28	45	1
28	47	1
28	48	2
29	14	1
29	23	2
29	24	2
29	25	2
29	26	2
29	27	2
29	30	2
29	31	2
29	32	2
29	33	3
29	34	3
29	35	3
29	36	2
29	37	2
29	38	2
29	44	1
29	45	1
30	14	1
30	23	2
30	24	2
30	25	2
30	26	2
30	27	2
30	29	2
30	31	2
30	33	2
30	34	1
30	35	2
30	36	1
30	37	1
30	38	1
30	44	1
30	45	1
