#tail	head	edge_weight
0	1	1
0	5	1
0	8	1
0	9	1
0	10	1
0	11	1
0	13	1
0	19	1
0	33	1
1	0	1
1	4	1
1	5	1
1	8	1
1	10	1
1	11	1
1	13	1
1	33	1
1	34	1
2	3	1
2	6	1
2	12	1
2	21	1
2	36	1
2	37	1
2	38	1
3	2	1
3	4	1
3	6	1
3	12	1
3	21	1
3	36	1
3	37	1
3	38	1
4	1	1
4	3	1
4	5	1
4	11	1
4	12	1
4	13	1
4	14	1
4	18	1
4	19	1
4	21	1
4	22	1
4	33	1
4	34	1
4	35	1
4	36	1
4	37	1
4	38	1
4	45	1
5	1	1
5	4	1
5	10	1
5	11	1
5	12	1
5	13	1
5	18	1
5	19	1
5	20	1
5	21	1
5	22	1
5	23	1
5	24	1
5	25	1
5	26	1
5	27	1
5	28	1
5	31	1
5	34	1
5	36	1
5	37	1
5	40	1
5	45	1
6	2	1
6	3	1
6	21	1
6	33	1
6	37	1
6	38	1
7	12	1
7	19	1
7	20	1
7	25	1
7	27	1
7	28	1
7	31	1
7	37	1
7	40	1
7	41	1
7	42	1
7	43	1
7	45	1
7	46	1
8	0	1
8	1	1
8	5	1
8	10	1
8	19	1
8	33	1
9	0	1
9	1	1
9	10	1
9	21	1
9	33	1
10	0	1
10	1	1
10	5	1
10	8	1
10	11	1
10	13	1
10	33	1
10	34	1
11	1	1
11	3	1
11	4	1
11	5	1
11	10	1
11	12	1
11	13	1
11	19	1
11	21	1
11	33	1
11	34	1
11	37	1
11	38	1
12	2	1
12	4	1
12	5	1
12	7	1
12	11	1
12	13	1
12	14	1
12	18	1
12	19	1
12	20	1
12	21	1
12	22	1
12	25	1
12	31	1
12	36	1
12	37	1
12	38	1
12	45	1
13	0	1
13	1	1
13	4	1
13	5	1
13	10	1
13	11	1
13	12	1
13	18	1
13	20	1
13	21	1
13	22	1
13	25	1
13	26	1
13	27	1
13	28	1
13	32	1
13	33	1
13	34	1
13	36	1
13	40	1
13	45	1
14	4	1
14	12	1
14	17	1
14	19	1
14	30	1
15	17	1
15	30	1
15	37	1
15	38	1
15	43	1
16	14	1
16	15	1
16	30	1
16	43	1
17	14	1
17	15	1
17	19	1
17	20	1
17	30	1
17	36	1
17	43	1
18	4	1
18	12	1
18	20	1
18	22	1
18	25	1
18	26	1
18	28	1
18	31	1
18	42	1
18	43	1
19	4	1
19	5	1
19	11	1
19	12	1
19	13	1
19	14	1
19	18	1
19	20	1
19	21	1
19	22	1
19	25	1
19	26	1
19	31	1
19	36	1
19	37	1
19	43	1
19	45	1
20	12	1
20	13	1
20	19	1
20	22	1
20	25	1
20	26	1
20	27	1
20	29	1
20	36	1
20	37	1
20	41	1
20	42	1
20	43	1
20	44	1
20	45	1
21	2	1
21	3	1
21	4	1
21	5	1
21	11	1
21	12	1
21	13	1
21	32	1
21	33	1
21	37	1
21	38	1
22	4	1
22	7	1
22	11	1
22	12	1
22	18	1
22	19	1
22	20	1
22	25	1
22	26	1
22	27	1
22	30	1
22	31	1
22	37	1
22	39	1
22	40	1
22	41	1
22	42	1
22	43	1
22	45	1
23	12	1
23	31	1
24	11	1
24	12	1
24	27	1
24	31	1
24	45	1
25	7	1
25	12	1
25	18	1
25	19	1
25	20	1
25	22	1
25	27	1
25	31	1
25	36	1
25	40	1
25	41	1
25	42	1
25	44	1
25	45	1
26	19	1
26	20	1
26	27	1
26	31	1
26	36	1
26	40	1
26	42	1
26	45	1
27	4	1
27	7	1
27	13	1
27	19	1
27	20	1
27	22	1
27	25	1
27	26	1
27	28	1
27	31	1
27	39	1
27	40	1
27	41	1
27	42	1
27	43	1
27	44	1
27	45	1
28	7	1
28	18	1
28	27	1
28	31	1
28	39	1
28	40	1
28	41	1
28	43	1
28	45	1
29	14	1
29	15	1
29	17	1
29	43	1
30	15	1
30	17	1
30	43	1
31	5	1
31	11	1
31	12	1
31	18	1
31	19	1
31	22	1
31	25	1
31	26	1
31	27	1
31	39	1
31	43	1
31	45	1
32	4	1
32	5	1
32	13	1
32	19	1
32	21	1
32	33	1
33	0	1
33	1	1
33	2	1
33	3	1
33	4	1
33	5	1
33	6	1
33	8	1
33	9	1
33	10	1
33	11	1
33	13	1
33	21	1
33	32	1
33	34	1
33	37	1
34	4	1
34	5	1
34	10	1
34	11	1
34	13	1
35	4	1
35	14	1
35	36	1
35	37	1
35	38	1
36	2	1
36	3	1
36	4	1
36	12	1
36	13	1
36	19	1
36	20	1
36	25	1
36	26	1
36	35	1
36	37	1
36	38	1
37	2	1
37	3	1
37	4	1
37	7	1
37	12	1
37	14	1
37	15	1
37	17	1
37	20	1
37	21	1
37	25	1
37	30	1
37	35	1
37	36	1
37	38	1
37	39	1
37	40	1
37	41	1
37	43	1
38	2	1
38	3	1
38	4	1
38	12	1
38	14	1
38	15	1
38	20	1
38	21	1
38	30	1
38	35	1
38	36	1
38	37	1
38	39	1
38	43	1
39	26	1
39	27	1
39	28	1
39	31	1
39	40	1
39	41	1
39	42	1
39	43	1
40	5	1
40	11	1
40	19	1
40	20	1
40	25	1
40	26	1
40	27	1
40	28	1
40	39	1
40	41	1
40	42	1
40	43	1
40	44	1
40	45	1
40	46	1
41	19	1
41	20	1
41	22	1
41	25	1
41	27	1
41	28	1
41	31	1
41	37	1
41	39	1
41	40	1
41	42	1
41	43	1
41	44	1
41	45	1
42	7	1
42	18	1
42	19	1
42	20	1
42	25	1
42	26	1
42	27	1
42	31	1
42	39	1
42	40	1
42	41	1
42	43	1
43	4	1
43	7	1
43	15	1
43	16	1
43	17	1
43	18	1
43	19	1
43	20	1
43	22	1
43	27	1
43	28	1
43	29	1
43	30	1
43	37	1
43	38	1
43	39	1
43	40	1
43	41	1
43	42	1
43	44	1
44	19	1
44	20	1
44	26	1
44	27	1
44	31	1
44	39	1
44	41	1
44	43	1
44	45	1
45	4	1
45	11	1
45	12	1
45	13	1
45	19	1
45	20	1
45	25	1
45	26	1
45	27	1
45	31	1
45	37	1
45	41	1
45	43	1
46	7	1
46	29	1
46	30	1
46	40	1
46	43	1
