#tail	head	edge_weight
10	24c	0.000152
10	46d	0.0751
10	8B	0.132
10	8l	0.000531
10	8m	0.00211
10	9/46d	0.00789
10	9/46v	0.00024
10	F5	9.27e-05
10	F7	0.00149
10	PBr	0.00873
10	STPc	0.00143
10	STPi	0.024
10	STPr	0.0323
2	24c	0.00224
2	46d	1.66e-05
2	5	0.0363
2	7A	1.81e-05
2	7B	0.00308
2	7m	1.19e-05
2	8l	0.000235
2	8m	4.91e-05
2	9/46d	4.66e-05
2	9/46v	0.00181
2	F1	0.125
2	F5	0.203
2	MT	2.38e-05
2	ProM	0.0279
2	STPc	6.92e-05
2	TEO	3.85e-05
24c	10	0.006425
24c	2	0.000239
24c	46d	0.00304
24c	7B	3.98e-05
24c	7m	0.00165
24c	8B	0.0937
24c	8l	0.00242
24c	8m	0.00239
24c	9/46d	0.00304
24c	9/46v	0.00688
24c	DP	2.78e-05
24c	F1	0.00432
24c	F2	0.0312
24c	F5	0.00851
24c	F7	0.0932
24c	PBr	0.000109
24c	ProM	0.00251
24c	STPc	1.38e-05
24c	STPi	0.00014
24c	STPr	0.000264
46d	10	0.18675
46d	2	1.14e-05
46d	24c	0.000485
46d	5	0.000188
46d	7A	0.0146
46d	7m	0.00429
46d	8B	0.0399
46d	8l	0.0391
46d	8m	0.112
46d	9/46d	0.196
46d	9/46v	0.0385
46d	DP	0.000755
46d	F5	9.76e-05
46d	F7	0.000904
46d	PBr	0.00412
46d	ProM	1.13e-05
46d	STPc	0.00687
46d	STPi	0.00362
46d	STPr	0.00975
46d	TEO	1.28e-05
46d	TEpd	1.5e-05
5	24c	0.0256
5	7A	0.0102
5	7B	0.0218
5	7m	0.00711
5	8l	6.13e-05
5	8m	8.58e-05
5	9/46d	0.000972
5	9/46v	7.02e-05
5	F1	0.109
5	F2	0.0188
5	F5	9.76e-05
5	F7	2.26e-05
5	STPc	2.77e-05
5	TEO	2.57e-05
7A	10	0.00022364
7A	2	5.69e-06
7A	24c	0.00796
7A	46d	0.000515
7A	5	0.151
7A	7B	0.397
7A	7m	0.0785
7A	8B	0.000888
7A	8l	0.00151
7A	8m	0.00164
7A	9/46d	0.000731
7A	9/46v	0.0223
7A	DP	0.118
7A	F1	0.00036
7A	F2	0.00833
7A	F5	7.32e-05
7A	F7	0.00212
7A	MT	0.000453
7A	PBr	2.24e-05
7A	ProM	1.69e-05
7A	STPc	0.00141
7A	STPr	0.000188
7A	TEO	0.000462
7A	TEpd	0.00202
7A	V4	0.0001049
7B	2	0.00203
7B	24c	0.00432
7B	5	0.0114
7B	7A	0.000551
7B	7m	5.96e-06
7B	8l	3.06e-05
7B	8m	0.000785
7B	9/46d	0.00111
7B	9/46v	0.0195
7B	F2	5.25e-05
7B	F5	0.0772
7B	F7	5.65e-05
7B	ProM	0.00106
7B	STPc	0.000221
7B	TEO	2.57e-05
7m	24c	0.0195
7m	46d	0.000747
7m	5	0.00182
7m	7A	0.0211
7m	7B	0.0186
7m	8B	0.00265
7m	8l	0.000102
7m	8m	0.000515
7m	9/46d	0.0345
7m	9/46v	0.000778
7m	DP	0.000235
7m	F2	0.00747
7m	F5	4.88e-06
7m	F7	0.00563
7m	PBr	0.000213
7m	STPc	4.15e-05
7m	TEO	5.13e-05
8B	10	0.0189
8B	24c	0.0429
8B	46d	0.0392
8B	7A	0.00752
8B	7m	0.0384
8B	8l	0.0206
8B	8m	0.0171
8B	9/46d	0.071
8B	9/46v	0.0165
8B	DP	0.00112
8B	F1	0.00036
8B	F2	0.000131
8B	F5	4.39e-05
8B	F7	0.103
8B	PBr	0.000898
8B	STPc	0.000803
8B	STPi	0.000215
8B	STPr	0.000581
8B	TEO	1.28e-05
8l	10	0.00043785
8l	24c	8.31e-05
8l	46d	6.64e-05
8l	7A	0.000361
8l	7m	0.000578
8l	8B	0.000935
8l	8m	0.185
8l	9/46d	0.0147
8l	9/46v	0.00308
8l	F2	1.75e-05
8l	F5	0.000883
8l	F7	0.00319
8l	MT	0.00228
8l	PBr	2.8e-06
8l	STPc	0.000484
8l	STPr	4.75e-05
8l	TEO	0.00608
8l	TEpd	0.00459
8l	V1	0.0002148
8l	V2	0.000109133333333
8l	V4	0.00242
8m	10	0.005715
8m	24c	2.77e-05
8m	46d	0.0316
8m	7A	0.0194
8m	7B	0.000186
8m	7m	0.0186
8m	8B	0.0491
8m	8l	0.415
8m	9/46d	0.222
8m	9/46v	0.0347
8m	DP	0.0019
8m	F1	4.5e-05
8m	F2	0.000254
8m	F5	4.39e-05
8m	F7	0.0386
8m	MT	0.000628
8m	PBr	0.000436
8m	STPc	0.00688
8m	STPi	4.3e-05
8m	STPr	0.000343
8m	TEpd	2.51e-05
8m	V2	3.705e-05
9/46d	10	0.011222
9/46d	24c	0.00511
9/46d	46d	0.604
9/46d	7A	0.00227
9/46d	7B	0.000252
9/46d	7m	0.0216
9/46d	8B	0.087
9/46d	8l	0.0103
9/46d	8m	0.0378
9/46d	9/46v	0.0146
9/46d	DP	0.000783
9/46d	F2	0.000166
9/46d	F5	3.41e-05
9/46d	F7	0.0251
9/46d	MT	5.96e-06
9/46d	PBr	0.00407
9/46d	STPc	0.00224
9/46d	STPi	0.000204
9/46d	STPr	9.91e-05
9/46d	TEO	2.57e-05
9/46d	V4	7.24e-06
9/46v	10	3.10666666667e-05
9/46v	2	0.0104
9/46v	24c	0.000748
9/46v	46d	0.000116
9/46v	7A	0.0038
9/46v	7B	0.0127
9/46v	7m	0.00124
9/46v	8B	0.000147
9/46v	8l	0.0249
9/46v	8m	0.0925
9/46v	9/46d	0.0168
9/46v	F2	0.000254
9/46v	F5	0.00284
9/46v	F7	0.00383
9/46v	MT	3.87e-05
9/46v	ProM	0.0201
9/46v	STPr	0.000522
9/46v	TEO	0.000391
9/46v	TEpd	0.00142
9/46v	V4	3.21e-05
DP	10	0.000149836666667
DP	46d	0.000257
DP	7A	0.0205
DP	7m	0.0134
DP	8B	0.000104
DP	8l	0.000521
DP	8m	0.000208
DP	9/46d	4.66e-05
DP	MT	0.0146
DP	PBr	5.59e-05
DP	STPc	0.000194
DP	STPr	3.7e-05
DP	TEO	0.00117
DP	TEpd	8.02e-05
DP	V1	0.0004906
DP	V2	0.000421233333333
DP	V4	9.74e-05
F1	10	6.23e-06
F1	2	0.000432
F1	24c	0.0112
F1	46d	6.64e-05
F1	5	0.337
F1	7A	0.000163
F1	7B	0.000941
F1	7m	0.000307
F1	8B	7.73e-06
F1	8l	0.00185
F1	8m	0.000858
F1	9/46d	5.44e-05
F1	9/46v	5.85e-05
F1	F2	0.163
F1	F5	0.0043
F1	F7	0.000294
F1	MT	2.98e-06
F1	ProM	6.76e-05
F1	STPr	1.06e-05
F2	10	6.5175e-05
F2	24c	0.0491
F2	46d	0.000133
F2	5	0.118
