n = 100, k = 20:
p = 1.000e-04, l = 2.98, c = 0.71 
p = 1.585e-04, l = 2.98, c = 0.71 
p = 2.512e-04, l = 2.98, c = 0.71 
p = 3.981e-04, l = 2.98, c = 0.71 
p = 6.310e-04, l = 2.80, c = 0.71 
p = 1.000e-03, l = 2.88, c = 0.71 
p = 1.585e-03, l = 2.80, c = 0.71 
p = 2.512e-03, l = 2.97, c = 0.71 
p = 3.981e-03, l = 2.62, c = 0.70 
p = 6.310e-03, l = 2.46, c = 0.69 
p = 1.000e-02, l = 2.37, c = 0.69 
p = 1.585e-02, l = 2.30, c = 0.67 
p = 2.512e-02, l = 2.23, c = 0.65 
p = 3.981e-02, l = 2.19, c = 0.64 
p = 6.310e-02, l = 2.16, c = 0.61 
p = 1.000e-01, l = 2.02, c = 0.55 
p = 1.585e-01, l = 1.91, c = 0.45 
p = 2.512e-01, l = 1.87, c = 0.39 
p = 3.981e-01, l = 1.82, c = 0.28 
p = 6.310e-01, l = 1.81, c = 0.20 
n = 1000, k = 20:
p = 1.000e-04, l = 24.52, c = 0.71 
p = 1.585e-04, l = 20.77, c = 0.71 
p = 2.512e-04, l = 17.50, c = 0.71 
p = 3.981e-04, l = 15.62, c = 0.71 
p = 6.310e-04, l = 10.10, c = 0.71 
p = 1.000e-03, l = 10.93, c = 0.71 
p = 1.585e-03, l = 8.80, c = 0.71 
p = 2.512e-03, l = 7.64, c = 0.71 
p = 3.981e-03, l = 6.00, c = 0.70 
p = 6.310e-03, l = 5.64, c = 0.70 
p = 1.000e-02, l = 4.88, c = 0.69 
p = 1.585e-02, l = 4.54, c = 0.68 
p = 2.512e-02, l = 4.07, c = 0.66 
p = 3.981e-02, l = 3.74, c = 0.63 
p = 6.310e-02, l = 3.44, c = 0.59 
p = 1.000e-01, l = 3.20, c = 0.52 
p = 1.585e-01, l = 3.00, c = 0.42 
p = 2.512e-01, l = 2.84, c = 0.30 
p = 3.981e-01, l = 2.73, c = 0.16 
p = 6.310e-01, l = 2.66, c = 0.05 
n = 5000, k = 20:
p = 1.000e-04, l = 75.75, c = 0.71 
p = 1.585e-04, l = 125.48, c = 0.71 
p = 2.512e-04, l = 34.42, c = 0.71 
p = 3.981e-04, l = 30.55, c = 0.71 
p = 6.310e-04, l = 26.96, c = 0.71 
p = 1.000e-03, l = 16.08, c = 0.71 
p = 1.585e-03, l = 12.82, c = 0.71 
p = 2.512e-03, l = 11.41, c = 0.71 
p = 3.981e-03, l = 9.39, c = 0.70 
p = 6.310e-03, l = 7.40, c = 0.70 
p = 1.000e-02, l = 6.76, c = 0.69 
p = 1.585e-02, l = 5.86, c = 0.68 
p = 2.512e-02, l = 5.30, c = 0.66 
p = 3.981e-02, l = 4.77, c = 0.63 
p = 6.310e-02, l = 4.39, c = 0.59 
p = 1.000e-01, l = 4.05, c = 0.52 
p = 1.585e-01, l = 3.74, c = 0.42 
p = 2.512e-01, l = 3.54, c = 0.30 
p = 3.981e-01, l = 3.36, c = 0.16 
p = 6.310e-01, l = 3.19, c = 0.04 
Time used for running 20 times n = 100 is: 0.4527s 
Time used for running 20 times n = 1000 is: 35.3257s 
Time used for running 20 times n = 5000 is: 1117.8411s 
