p = 0, l0 = 2.980, c0 = 0.711 
p = 1.000e-04, l/l0 = 1.000 0.000e+00, c/c0 = 1.000 0.000e+00
p = 1.585e-04, l/l0 = 0.981 4.062e-02, c/c0 = 0.999 1.963e-03
p = 2.512e-04, l/l0 = 0.985 2.311e-02, c/c0 = 0.999 1.184e-03
p = 3.981e-04, l/l0 = 0.988 2.386e-02, c/c0 = 0.999 1.249e-03
p = 6.310e-04, l/l0 = 0.973 2.696e-02, c/c0 = 0.998 1.628e-03
p = 1.000e-03, l/l0 = 0.958 3.448e-02, c/c0 = 0.997 2.162e-03
p = 1.585e-03, l/l0 = 0.957 3.221e-02, c/c0 = 0.997 2.164e-03
p = 2.512e-03, l/l0 = 0.948 5.608e-02, c/c0 = 0.995 5.418e-03
p = 3.981e-03, l/l0 = 0.889 3.835e-02, c/c0 = 0.990 4.343e-03
p = 6.310e-03, l/l0 = 0.850 2.935e-02, c/c0 = 0.983 6.697e-03
p = 1.000e-02, l/l0 = 0.834 2.254e-02, c/c0 = 0.977 6.890e-03
p = 1.585e-02, l/l0 = 0.783 1.375e-02, c/c0 = 0.958 9.002e-03
p = 2.512e-02, l/l0 = 0.777 1.520e-02, c/c0 = 0.944 1.375e-02
p = 3.981e-02, l/l0 = 0.743 1.847e-02, c/c0 = 0.897 2.351e-02
p = 6.310e-02, l/l0 = 0.713 8.043e-03, c/c0 = 0.850 1.587e-02
p = 1.000e-01, l/l0 = 0.678 6.394e-03, c/c0 = 0.760 1.732e-02
p = 1.585e-01, l/l0 = 0.647 3.275e-03, c/c0 = 0.653 1.556e-02
p = 2.512e-01, l/l0 = 0.625 2.515e-03, c/c0 = 0.518 1.885e-02
p = 3.981e-01, l/l0 = 0.612 1.095e-03, c/c0 = 0.380 1.191e-02
p = 6.310e-01, l/l0 = 0.607 5.856e-04, c/c0 = 0.292 5.418e-03
p = 1, l1/l0 = 0.606 5.302e-04, c1/c0 = 0.273 5.224e-03 
Time used: 5.7363s
